Parcella;superficie;VAE;Habitat;AR2;ARM;CRR;CV;ELEVMAX;ELEVMEAN;ELEVMIN;P10;P25;P50;P75;P80;P99;R1C;R2C;R3C;R4C;KURTO;SKEWN;LFCC;RMH;P99P75;P75P50;P50P25;STD;FCC;IQ;FR2;FRM;TR;TRANMINHT
AD6147;452,3893421;195,4;CAR;100;48;0,43228;0,2918;23,2947;14,5356;7,8662;9,348;10,7365;13,8193;18,631;19,1091;22,6948;354;70;1;0;1,5991;0,1798;83,29412;0,59324;4,0638;4,8117;3,0828;4,2414;100;7,8945;100;56,4972;425;425
AD6158;452,3893421;381,6;PNM;100;61,7111;0,47045;0,3779;24,3499;15,2285;7,1251;7,512;7,7882;17,7379;20,0563;20,4847;23,5032;505;193;15;0;1,4365;-0,3834;70,82749;0,72846;3,4469;2,3184;9,9497;5,7551;100;12,2681;100;84,9505;713;713
AD6159;1256,637061;196,6;PRM;100;51,9747;0,40947;0,553;28,2988;13,1746;2,6875;4,4369;5,2266;13,875;19,7471;20,6526;26,1929;404;195;32;2;1,5413;0,0851;63,82306;0,4903;6,4458;5,8721;8,6484;7,2856;100;14,5205;100;67,5743;633;633
AD6160;452,3893421;278,1;PRM;100;52,3179;0,39986;0,3513;31,5669;17,4774;8,0898;8,6789;12,0836;17,7744;21,9681;23,0806;29,6444;317;124;11;1;1,9869;0,0017;69,97792;0,56307;7,6763;4,1937;5,6908;6,1404;100;9,8845;100;65,6151;453;453
AD6161;452,3893421;79,1;BMF;100;45,8763;0,5311;0,2426;24,8157;16,1259;6,2834;11,7195;12,9006;15,234;19,6777;20,2735;23,4859;760;198;12;0;1,9066;0,1915;78,35052;0,61389;3,8082;4,4437;2,3334;3,9114;100;6,7771;100;52,5;970;970
AD6162;452,3893421;54,0;RMR;100;50,8015;0,44791;0,2209;17,7626;11,6178;6,6326;8,3479;9,3279;11,7224;13,6599;14,2295;16,771;615;191;5;0;1,9136;0,0995;75,83231;0,65995;3,1111;1,9375;2,3945;2,5663;100;4,332;100;63,7398;811;811
AD6167;452,3893421;323,2;PRX;100;57,6399;0,45311;0,4019;28,2982;16,2946;6,3495;6,8735;7,8948;17,7369;21,3566;22,4402;27,2409;475;166;19;1;1,7373;-0,2671;71,86082;0,62679;5,8843;3,6197;9,8421;6,5483;100;13,4618;100;70,3158;661;661
AD6168;452,3893421;401,6;AVE;100;63,6861;0,54133;0,3511;26,5387;17,084;5,9255;6,7397;12,0929;19,1869;21,7925;22,2605;25,2095;413;123;12;0;2,0184;-0,6378;75,36496;0,72298;3,417;2,6056;7,094;5,9978;100;9,6996;100;80,3874;548;548
AD6169;452,3893421;323,4;PRM;100;61,7725;0,50367;0,4557;26,9674;16,463;5,8031;6,5237;6,7555;20,2138;22,7322;23,1794;26,1373;563;184;9;0;1,3839;-0,4072;74,4709;0,74956;3,4051;2,5184;13,4583;7,5027;100;15,9767;100;79,929;756;756
AD6170;452,3893421;251,9;PRM;100;63,0807;0,54177;0,3476;27,6655;18,4083;7,4635;8,8548;9,7673;20,8;23,3842;24,0502;27,123;543;237;36;2;1,7384;-0,5338;66,38142;0,75184;3,7388;2,5842;11,0327;6,3989;100;13,6169;100;84,8987;818;818
