Parcella;superficie;VAE;Habitat;AR2;ARM;CRR;CV;ELEVMAX;ELEVMEAN;ELEVMIN;P10;P25;P50;P75;P80;P99;R1C;R2C;R3C;R4C;KURTO;SKEWN;LFCC;RMH;P99P75;P75P50;P50P25;STD;FCC;IQ;FR2;FRM;TR;TRANMINHT
AD1055;530,9291585;275,8;PNM;100;52,8053;0,35639;0,5789;17,9744;7,9814;2,4478;2,7137;3,0849;8,4281;12,1841;12,8586;16,2278;423;169;14;0;1,5044;0,1469;69,80198;0,46889;4,0437;3,756;5,3432;4,6204;100;9,0992;100;72,104;606;606
AD1056;452,3893421;261,8;PNM;100;48,9458;0,36198;0,31;21,6519;11,7744;6,1704;7,7071;8,274;11,6478;14,6658;15,1986;20,0223;499;154;11;0;2,0539;0,4274;75,1506;0,53796;5,3565;3,018;3,3738;3,6495;100;6,3918;100;63,3267;664;664
AD1057;452,3893421;293,1;PNM;100;46,6119;0,37865;0,4636;24,3547;11,5283;3,7118;4,6325;6,2583;11,0995;15,8223;16,9848;22,2163;353;122;12;0;1,9473;0,2656;72,4846;0,45574;6,394;4,7228;4,8412;5,3448;100;9,564;100;56,6572;487;487
AD1058;706,8583471;209,8;AVE;100;45,7971;0,35319;0,6088;24,4551;11,2776;4,082;4,6628;5,1959;6,0123;18,359;19,1644;23,1144;273;68;4;0;1,4398;0,3951;79,13043;0,24585;4,7554;12,3467;0,8164;6,8658;100;13,1631;100;55,3114;345;345
AD1066;452,3893421;212,4;PNX;100;50,1901;0,32669;0,3775;22,2738;11,203;5,8314;6,1347;6,6258;11,2286;14,3482;15,1233;20,5398;681;307;60;4;2,125;0,3811;64,73384;0,50412;6,1916;3,1196;4,6028;4,2296;100;7,7224;100;66,6667;1052;1052
AD1067;452,3893421;349,5;PNX;100;59,5547;0,46795;0,398;19,0955;10,2839;2,5339;4,4511;5,5618;11,2423;13,3497;13,7702;18,0759;415;115;9;0;1,9593;-0,2855;76,99443;0,58874;4,7262;2,1074;5,6805;4,0935;100;7,788;100;75,4217;539;539
AD1068;1256,637061;187,7;PNM;100;45,216;0,33118;0,4439;19,9526;9,139;3,7844;5,1545;5,4306;8,3276;12,4747;13,4772;17,2122;494;143;11;0;1,8586;0,5191;76,23457;0,41737;4,7375;4,1471;2,897;4,0567;100;7,0441;100;54,4534;648;648
AD1077;452,3893421;318,4;PNM;100;54,5322;0,43619;0,5629;16,4817;8,6624;2,613;2,8189;3,0711;10,1563;13,304;13,6316;15,915;486;178;20;0;1,3088;-0,0831;71,05263;0,61622;2,611;3,1477;7,0852;4,8764;100;10,2329;100;73,6626;684;684
AD1078;452,3893421;236,6;PNM;100;49,8652;0,46935;0,2879;26,2573;16,4964;7,8629;10,4006;12,4789;16,4821;20,4376;21,2218;25,5871;484;216;39;3;1,8174;0,0773;65,22911;0,62771;5,1495;3,9555;4,0032;4,75;100;7,9586;100;66,7355;742;742
AD1079;452,3893421;118,6;PNM;100;44,8352;0,38902;0,4776;15,108;7,1541;2,0897;3,1728;4,1849;6,6056;9,7264;10,5396;14,6281;368;86;1;0;2,2072;0,5144;80,87912;0,43723;4,9017;3,1208;2,4207;3,4166;100;5,5415;100;52,4457;455;455
AD2080;706,8583471;232,1;PNM;100;48,0769;0,35989;0,5122;21,3506;10,3208;4,1196;4,8248;5,1277;9,453;15,193;15,9602;20,665;487;166;23;0;1,6181;0,3514;72,04142;0,44275;5,472;5,74;4,3253;5,2864;100;10,0652;100;59,7536;676;676
AD2082;452,3893421;377,7;PNX;100;60,4552;0,49799;0,3133;26,3994;17,3893;8,4514;8,9844;10,6509;19,1814;21,886;22,3277;25,4837;474;181;47;1;1,7708;-0,5141;67,42532;0,72658;3,5977;2,7046;8,5305;5,4476;100;11,2351;100;84,1772;703;703
AD2089;452,3893421;180,4;PNX;100;45,9057;0,33837;0,4847;27,3436;11,2721;3,053;5,1329;6,4655;10,5093;15,2912;16,5737;24,2912;521;228;53;4;2,3463;0,5549;64,6402;0,38434;9;4,7819;4,0438;5,4634;100;8,8257;100;57,0058;806;806
AD2090;452,3893421;131,3;PRX;100;39,4366;0,37952;0,3293;17,0728;9,1294;4,2708;5,9377;6,9229;8,1451;11,3594;12,2007;16,1157;384;42;0;0;2,4381;0,69;90,14085;0,47708;4,7563;3,2143;1,2222;3,0066;100;4,4365;100;43,2292;426;426
AD2091;452,3893421;293,8;PRX;100;60,8209;0,46135;0,2799;28,4218;17,9552;8,9905;10,6231;12,4317;19,6713;21,8808;22,3616;26,0074;401;129;6;0;1,751;-0,3687;74,81343;0,69212;4,1266;2,2095;7,2396;5,0256;100;9,4491;100;78,0549;536;536
AD2093;452,3893421;238,1;PNM;100;47,9315;0,33423;0,5309;16,8137;7,1399;2,2834;2,9109;3,448;6,7219;10,2327;10,7063;15,26;512;176;13;0;1,8782;0,3938;73,03852;0,39979;5,0273;3,5108;3,2739;3,7903;100;6,7847;100;62,5;701;701
AD2098;452,3893421;250,6;PNX;100;51,2761;0,48531;0,2994;22,3408;14,0281;6,1898;8,667;9,5133;14,5258;17,2241;17,6885;21,4069;340;87;4;0;1,7626;-0,0378;78,88631;0,65019;4,1828;2,6983;5,0125;4,2007;100;7,7108;100;63,8235;431;431
AD2099;452,3893421;376,8;PRM;100;57,7259;0,50302;0,4406;27,5735;16,699;5,6924;7,2704;8,6344;20,1514;23,3294;23,7659;26,9558;461;201;24;0;1,2778;-0,2194;67,20117;0,73082;3,6264;3,178;11,517;7,3584;100;14,695;100;77,2234;686;686
AD2100;452,3893421;287,2;PNM;100;58,1361;0,47446;0,4968;23,1504;12,3701;2,6376;4,0938;5,5049;14,6089;17,8254;18,1733;21,5054;454;185;33;3;1,4441;-0,2576;67,15976;0,63104;3,68;3,2165;9,104;6,1458;99,78022;12,3206;100;79,2952;676;676
AD2101;452,3893421;296,2;PNX;100;56,9204;0,42232;0,5386;18,282;9,4919;3,0657;3,2771;3,5334;10,718;14,058;14,6154;17,9156;421;150;7;0;1,403;-0,0809;72,83737;0,58626;3,8576;3,34;7,1846;5,1123;100;10,5246;100;76,7221;578;578
AD2102;452,3893421;307,6;PNM;100;53,3237;0,3978;0,3709;23,0581;13,0234;6,3947;7,207;7,7523;13,7822;17,1749;17,9133;22,014;469;203;20;0;1,5552;0,0797;67,77457;0,59772;4,8391;3,3927;6,0299;4,8307;100;9,4226;100;73,774;692;692
AD2103;452,3893421;331,9;PNX;100;51,1628;0,41197;0,4642;21,2192;11,181;4,1484;4,9971;5,6824;11,4084;15,7742;16,509;20,2292;373;125;15;3;1,517;0,1224;72,28682;0,53765;4,455;4,3658;5,726;5,1903;100;10,0919;100;64,0751;516;516
AD2110;615,7521601;199,1;PRM;100;55,1282;0,43821;0,3738;31,4071;17,7985;7,1833;8,587;10,6742;19,4501;23,5126;24,3955;28,85;519;217;43;1;1,5998;-0,147;66,53846;0,61929;5,3374;4,0625;8,7759;6,6536;100;12,8384;100;70,9056;780;780
AD2111;452,3893421;435,7;PRM;100;65,44;0,5489;0,419;28,3204;17,404;4,121;6,5414;8,6361;21,097;22,8761;23,4081;27,7613;438;173;13;1;1,6716;-0,5922;70,08;0,74494;4,8852;1,7791;12,4609;7,2918;100;14,24;100;89,0411;625;625
AD2112;706,8583471;292,1;PRM;100;63,3466;0,5707;0,3058;26,7379;18,4769;7,495;9,1925;15,1098;20,1649;22,7391;23,4946;26,1188;380;113;8;1;2,0926;-0,6921;75,69721;0,75417;3,3797;2,5742;5,0551;5,6511;100;7,6293;100;78,9474;502;502
AD2113;452,3893421;250,8;PNM;100;54,6603;0,40237;0,3192;25,917;15,3397;8,2183;9,2608;9,8717;16,4126;19,6134;20,0659;23,4433;441;180;12;0;1,4571;-0,0744;69,66825;0,63328;3,8299;3,2008;6,5409;4,897;100;9,7417;100;77,0975;633;633
AD2114;452,3893421;268,2;PNM;100;42,6277;0,35989;0,5746;23,0632;10,4341;3,3336;4,2673;4,8136;8,2974;16,6533;17,3508;21,3059;515;163;7;0;1,5306;0,4006;75,18248;0,35977;4,6526;8,3559;3,4838;5,9951;100;11,8397;100;53,7864;685;685
AD2115;452,3893421;317,2;PNX;100;48,1905;0,33284;0,5845;21,5403;8,5155;2,0176;3,1116;3,7612;8,1711;12,9473;13,7235;18,5185;385;130;10;0;1,7227;0,352;73,33333;0,37934;5,5712;4,7762;4,4099;4,9769;100;9,186;100;61,8182;525;525
AD2116;1385,44236;140,1;PNM;100;35,534;0,28183;0,5711;18,1069;7,4815;3,3118;3,9083;4,2347;5,0552;10,8552;12,2371;17,3329;414;86;14;1;2,3698;0,9466;80,38835;0,27919;6,4777;5,8;0,8205;4,2725;100;6,6205;100;36,715;515;515
AD2122;530,9291585;335,1;PNM;100;54,2453;0,38872;0,4968;23,2532;11,6761;4,314;4,8435;5,264;12,6865;17,0317;17,5974;21,365;446;166;24;0;1,3729;-0,0103;70,12579;0,54558;4,3333;4,3452;7,4225;5,8007;100;11,7678;100;72,4215;636;636
AD2123;530,9291585;169,2;PNM;100;42,3237;0,29734;0,4133;24,6108;11,6838;6,2136;7,0058;7,4466;9,287;15,9193;17,0447;21,6328;356;116;10;0;1,8927;0,6025;73,85892;0,37735;5,7135;6,6323;1,8404;4,8288;100;8,4727;100;53,3708;482;482
AD2124;907,9202769;161,1;PNM;100;45,3216;0,29161;0,3549;17,0105;8,6868;5,2603;5,6873;5,9136;7,4542;11,3372;11,8342;15,3802;839;181;6;0;1,9298;0,5635;81,77388;0,43821;4,043;3,883;1,5406;3,0829;100;5,4236;100;54,4696;1026;1026
AD2125;452,3893421;175,2;PNM;99,8004;40,7186;0,34509;0,4358;17,1855;7,2586;2,0278;3,837;5,0194;6,7175;8,519;9,6523;15,8121;427;70;3;0;3,3372;0,9179;85,22954;0,39088;7,2931;1,8015;1,6981;3,1635;99,76636;3,4996;99,7664;41,3551;501;500
AD3001;452,3893421;131,5;BMF;100;42,6136;0,34978;0,295;16,8044;9,2105;5,1255;6,0725;6,8748;8,7089;10,9817;11,594;15,6508;431;96;1;0;2,444;0,6166;81,62879;0,51825;4,6691;2,2728;1,8341;2,7173;100;4,1069;100;49,1879;528;528
AD3002;1017,87602;114,7;PNX;100;30,9611;0,20374;0,55;14,7788;4,9286;2,4082;2,7276;3,1122;3,6133;6,0751;7,3699;12,5589;1242;119;2;0;3,8063;1,3837;91,12252;0,24449;6,4838;2,4618;0,5011;2,7107;100;2,9629;100;31,723;1363;1363
AD3003;452,3893421;194,2;PNM;100;43,4243;0,29041;0,3278;14,4823;7,3472;4,4271;4,9826;5,2538;6,4194;9,1648;9,5803;13,6645;344;57;2;0;2,6997;0,8259;85,3598;0,44326;4,4997;2,7454;1,1656;2,4081;100;3,911;100;50;403;403
AD3004;706,8583471;67,2;PNM;100;42,9961;0,34999;0,2535;19,0135;11,4105;7,3167;8,1301;8,8349;10,5497;13,8026;14,2865;18,1175;425;88;1;0;2,1085;0,5092;82,68482;0,55485;4,3149;3,2529;1,7148;2,893;100;4,9677;100;50,5882;514;514
AD3005;615,7521601;84,2;COR;100;36,1858;0,45553;0,3103;22,7606;12,8495;4,5574;8,9342;10,2919;11,8102;15,3317;16,8881;21,7886;337;70;2;0;2,6729;0,5273;82,39609;0,51889;6,4569;3,5215;1,5183;3,9875;100;5,0398;100;40,0593;409;409
AD3006;530,9291585;164,4;BMF;97,4828;36,3844;0,23435;0,4709;13,7489;4,7859;2,0425;2,8308;3,2544;4,0424;5,4319;5,8466;12,9541;371;55;0;0;5,772;1,6907;84,89703;0,29402;7,5222;1,3895;0,788;2,2537;97,12042;2,1775;98,1481;40,4762;437;426
AD3007;615,7521601;316,8;BMF;100;48,5246;0,30592;0,6242;19,1105;7,336;2,1462;2,4607;2,757;6,9069;11,1852;11,9679;16,3237;448;143;19;0;1,7303;0,3765;73,44262;0,36142;5,1385;4,2783;4,1499;4,5793;100;8,4281;100;61,1607;610;610
AD3008;452,3893421;120,6;PNM;100;28,5714;0,24947;0,3399;20,6516;10,2267;6,7615;7,3916;7,9631;8,7036;12,0229;13,5147;19,9115;355;60;5;0;3,4681;1,3258;84,52381;0,42145;7,8886;3,3193;0,7405;3,4756;100;4,0598;100;31,2676;420;420
AD3009;314,1592654;474,2;PNM;100;55,754;0,48293;0,3293;21,9;14,0078;6,6368;7,6747;8,4498;15,1407;17,9252;18,4802;21,4183;376;122;6;0;1,5721;-0,2497;74,60317;0,69136;3,4931;2,7845;6,6909;4,6124;100;9,4754;100;72,6064;504;504
AD3010;380,1327111;267,0;PNM;100;58,0305;0,44838;0,2642;22,3345;14,8073;8,6888;9,6943;10,0459;16,0918;18,0464;18,5012;20,7554;573;248;31;1;1,496;-0,2275;67,17468;0,72049;2,709;1,9546;6,0459;3,9125;100;8,0005;100;82,3735;853;853
AD3011;530,9291585;182,7;RFG;100;60,9449;0,61943;0,2469;29,3693;20,9161;7,1571;12,8196;18,7209;22,0542;24,5489;24,9954;28,6085;488;135;12;0;3,3217;-0,9808;76,85039;0,75093;4,0596;2,4947;3,3333;5,164;100;5,8279;100;73,9754;635;635
AD3012;452,3893421;215,1;PNX;100;48,4076;0,38585;0,3154;23,0298;13,4584;7,4451;8,4928;9,4349;13,2623;17,2121;17,8372;22,1656;454;163;11;0;1,7389;0,3013;72,29299;0,57588;4,9535;3,9498;3,8274;4,2451;100;7,7772;100;61,8943;628;628
AD3015;452,3893421;229,5;PNM;100;47,3418;0,37841;0,4564;23,8938;12,2892;5,2245;5,7119;6,4073;11,9216;17,381;18,2989;23,0603;525;213;49;3;1,7138;0,2965;66,4557;0,49894;5,6793;5,4594;5,5143;5,6084;100;10,9736;100;56;790;790
AD3016;452,3893421;239,2;PRX;100;60,9023;0,49467;0,3207;22,3787;13,7333;5,2704;6,6328;9,8325;14,9203;17,0657;17,5567;20,7471;472;166;26;1;1,9943;-0,48;70,97744;0,66672;3,6814;2,1454;5,0878;4,4042;100;7,2332;100;78,3898;665;665
AD3017;452,3893421;325,8;PNX;100;55,1618;0,46243;0,4518;21,095;11,616;3,462;4,9043;6,1136;12,8634;16,2949;16,9039;20,3403;475;163;11;0;1,4827;-0,078;73,18952;0,60978;4,0454;3,4315;6,7498;5,248;100;10,1813;100;71,3684;649;649
AD3018;452,3893421;211,0;PNX;100;48,4034;0,31608;0,5221;15,8843;7,1572;3,1238;3,2925;3,4857;6,7188;10,3976;11,1468;14,7737;432;154;9;0;1,7144;0,3899;72,60504;0,42298;4,3761;3,6788;3,2331;3,7365;100;6,9119;100;63,4259;595;595
AD3027;804,2477193;134,7;PNX;100;45,0428;0,38802;0,3054;28,1172;16,5827;9,2693;11,091;11,9897;15,363;21,0337;21,7072;27,4249;571;222;23;1;1,928;0,4878;69,88984;0,54639;6,3912;5,6707;3,3733;5,0648;100;9,0439;100;54,4658;817;817
AD3028;452,3893421;393,4;PRX;100;64,9635;0,55214;0,3007;24,1901;15,8554;5,58;7,3512;13,5984;17,4276;19,3524;19,7374;22,4174;335;71;5;0;2,5071;-0,8543;81,50852;0,72044;3,065;1,9248;3,8292;4,7678;100;5,754;100;77,3134;411;411
AD3029;380,1327111;288,2;PNX;100;51,5046;0,34758;0,3817;22,8792;11,8688;6,0029;6,5225;6,9568;12,0849;15,8316;16,344;20,6286;592;223;46;3;1,7;0,2127;68,51852;0,5282;4,797;3,7467;5,1281;4,5307;100;8,8748;100;64,8649;864;864
AD3030;452,3893421;257,5;PNM;100;45,8057;0,37733;0,3412;24,8118;14,2504;7,8503;8,9471;9,7017;13,3359;19,0165;19,5642;23,0056;610;256;40;0;1,5439;0,3207;67,32892;0,53748;3,9891;5,6806;3,6342;4,8621;100;9,3148;100;61,4754;906;906
AD3038;380,1327111;313,2;PNX;100;51,0358;0,37112;0,2904;22,7904;13,1638;7,4828;8,6406;9,3292;13,2637;16,39;16,9771;21,1462;401;129;1;0;1,7586;0,2104;75,51789;0,58199;4,7562;3,1263;3,9345;3,8232;100;7,0609;100;66,3342;531;531
AD3039;804,2477193;218,9;PRX;100;51,5581;0,3816;0,3667;25,1715;13,7681;6,7313;7,5327;8,6635;14,1832;17,9977;18,7145;23,6119;511;174;21;0;1,6756;0,1661;72,3796;0,56346;5,6142;3,8145;5,5197;5,049;100;9,3342;100;63,7965;706;706
AD3040;452,3893421;262,1;PRX;100;40,5899;0,36963;0,5789;30,592;14,9186;5,7283;6,6245;7,5384;9,2061;24,6444;25,8299;29,7556;539;147;23;3;1,4684;0,4962;75,70225;0,30093;5,1112;15,4383;1,6677;8,6365;100;17,106;100;45,6401;712;712
AD3041;452,3893421;371,2;PNX;100;70,4198;0,57502;0,3416;22,0846;14,842;5,0424;5,623;13,9854;16,9469;18,2763;18,7074;21,2557;415;103;6;0;2,4546;-1,0054;79,19847;0,76736;2,9794;1,3294;2,9615;5,0703;100;4,2909;100;86,988;524;524
AD3042;907,9202769;254,6;PRX;100;45,2614;0,30781;0,3809;23,4222;12,0148;6,942;7,4748;7,8806;10,8074;15,7592;16,7189;22,1862;491;118;3;0;1,9657;0,5599;80,22876;0,46142;6,427;4,9518;2,9268;4,5766;100;7,8786;100;53,7678;612;612
AD3043;907,9202769;317,0;PNX;100;63,0383;0,49447;0,3479;25,0219;15,8366;6,8524;7,2685;10,2909;17,9291;20,2691;20,6178;24,0512;566;231;38;1;1,7899;-0,5205;67,70335;0,71654;3,7821;2,34;7,6382;5,5091;100;9,9781;100;83,3922;836;836
AD3047;452,3893421;231,4;PRM;100;61,8214;0,54561;0,363;26,104;17,6265;7,4471;8,415;9,4626;20,6908;23,1136;23,4464;25,7216;393;160;18;0;1,4986;-0,4736;68,82662;0,79263;2,608;2,4228;11,2282;6,3984;100;13,651;100;85,2417;571;571
AD3048;615,7521601;61,3;PRX;100;47,619;0,40253;0,3095;24,4611;14,3406;7,5222;8,8653;9,7891;14,0872;17,8156;18,7188;23,9588;314;131;16;1;1,9629;0,2735;67,96537;0,5759;6,1432;3,7284;4,2981;4,4383;100;8,0265;100;60,5096;462;462
AD3049;452,3893421;350,6;PNM;100;55,3148;0,46342;0,409;28,453;16,5715;6,3099;6,9637;9,4788;18,2332;22,6218;23,3683;26,3364;597;300;68;4;1,5001;-0,2314;61,60991;0,64082;3,7146;4,3886;8,7544;6,7771;100;13,1431;100;76,8844;969;969
AD3050;706,8583471;244,7;PRX;100;48,046;0,38493;0,3001;23,7458;13,6851;7,3889;8,9567;9,8203;13,4855;16,9863;17,7285;22,0142;590;260;20;0;1,8821;0,3349;67,81609;0,56791;5,0279;3,5008;3,6652;4,1063;100;7,166;100;65,2542;870;870
AD3051;452,3893421;247,2;PNX;100;57,1429;0,43295;0,3845;26,1282;15,3853;7,1829;7,6666;8,0635;16,7834;20,4801;21,1409;24,9317;415;157;23;0;1,5247;-0,1516;69,7479;0,64235;4,4516;3,6967;8,7199;5,9157;100;12,4166;100;71,8072;595;595
AD3064;452,3893421;343,2;PRX;100;66,2708;0,57793;0,3833;24,9288;16,1761;4,1914;5,3596;13,0997;18,5065;20,7036;21,2374;24,6427;652;182;8;0;2,1885;-0,8063;77,43468;0,74237;3,9391;2,1971;5,4068;6,2001;100;7,6039;100;83,4356;842;842
AD3065;452,3893421;235,9;PRX;99,1853;58,8595;0,47911;0,5343;23,4656;12,3043;2,0381;3,2892;4,4567;14,6047;17,9634;18,5088;22,3756;772;188;14;0;1,4966;-0,2945;78,61507;0,62239;4,4122;3,3587;10,148;6,5739;98,97436;13,5067;98,9744;69,2308;982;974
AD3074;452,3893421;439,1;PRM;100;64,1667;0,54793;0,3409;26,8917;17,4517;6,0099;7,5339;13,5468;19,5356;21,9418;22,4291;26,0514;1028;362;46;4;2,0912;-0,7066;71,38889;0,72645;4,1096;2,4062;5,9888;5,9485;100;8,395;100;83,8521;1440;1440
AD3075;452,3893421;354,8;PNM;100;52,48;0,41652;0,4589;22,1005;11,4229;3,8007;4,1755;6,6454;11,7556;15,5939;16,5858;21,2645;858;344;44;4;1,7951;0,0302;68,64;0,53192;5,6706;3,8383;5,1102;5,2418;100;8,9485;100;69,697;1250;1250
AD3076;452,3893421;234,1;PNM;100;48,1836;0,40606;0,384;22,5942;13,3365;7,0072;7,7219;8,1492;13,1285;18,1556;18,956;21,9002;386;122;15;0;1,4621;0,2206;73,80497;0,58106;3,7446;5,0271;4,9793;5,1216;100;10,0063;100;60,1036;523;523
AD4024;1017,87602;119,5;PNM;100;45,8265;0,38866;0,385;26,0455;14,1408;6,5724;8,1625;8,8483;12,4836;19,045;20,0902;25,3885;504;103;4;0;1,8364;0,447;82,48773;0,4793;6,3435;6,5614;3,6353;5,4443;100;10,1967;100;51,9841;611;611
AD4025;452,3893421;273,5;PNX;100;57,6052;0,4591;0,3271;24,8151;15,3838;7,3789;7,9754;10,0264;16,5715;19,6447;20,0893;23,4089;435;159;23;1;1,7005;-0,2769;70,38835;0,6678;3,7642;3,0732;6,5451;5,0325;100;9,6183;100;70,1149;618;618
AD4026;452,3893421;339,8;PNX;100;50,306;0,41865;0,4001;18,0619;10,07;4,3148;4,8657;5,3346;10,1344;13,6489;14,2219;17,0247;565;213;38;1;1,6368;0,0443;69,15545;0,56109;3,3758;3,5145;4,7998;4,0295;100;8,3143;100;67,9646;817;817
AD4035;452,3893421;159,1;PNM;100;50,5535;0,39599;0,2021;18,6011;12,6577;8,7612;9,476;10,1686;12,74;14,6871;14,9966;18,0321;471;71;0;0;1,9032;0,2072;86,90037;0,68491;3,345;1,9471;2,5714;2,5577;100;4,5184;100;54,7771;542;542
AD4036;452,3893421;349,9;PRX;100;71,3303;0,57162;0,3529;26,1311;17,2599;5,4226;6,5907;15,7503;20,1492;21,4489;21,7981;24,193;346;87;3;0;2,3307;-0,9954;79,3578;0,77108;2,7441;1,2997;4,3989;6,0918;100;5,6986;100;86,7052;436;436
AD4037;452,3893421;310,0;PRM;100;64,4491;0,5129;0,3735;21,9343;13,8891;5,4177;6,1859;7,0193;15,7321;17,8853;18,3802;21,2712;373;101;7;0;1,7226;-0,5214;77,54678;0,71724;3,3859;2,1532;8,7128;5,1878;100;10,866;100;79,8928;481;481
AD4045;452,3893421;456,9;AVE;100;54,5964;0,45193;0,436;31,02;16,7971;5,069;6,4407;9,6208;18,5454;23,083;23,7246;29,8855;554;269;65;4;1,6965;-0,1022;62,10762;0,59785;6,8025;4,5376;8,9246;7,3234;100;13,4622;100;73,6462;892;892
AD4046;452,3893421;336,7;PNM;100;54,8638;0,4284;0,3361;21,8217;12,9323;6,2698;7,0819;8,1404;13,548;16,4404;17,0424;20,7492;397;114;3;0;1,6731;-0,0713;77,23735;0,62085;4,3088;2,8924;5,4076;4,3471;100;8,3;100;65,2393;514;514
AD4059;452,3893421;418,2;PNX;100;54,023;0,43218;0,3863;32,7762;18,197;7,1003;7,8014;11,8159;19,3857;23,941;24,7843;30,5989;377;129;15;1;1,7854;-0,1616;72,22222;0,59146;6,6579;4,5553;7,5698;7,0292;100;12,1251;100;64,191;522;522
AD4060;452,3893421;287,8;PRX;100;44,2159;0,31602;0,527;29,1166;12,888;5,3898;6,1411;6,6194;10,0719;19,4005;20,3705;26,6708;598;163;17;0;1,6622;0,4597;76,86375;0,34592;7,2703;9,3286;3,4525;6,7926;100;12,7811;100;50,8361;778;778
AD4061;452,3893421;254,6;PRX;100;55,8282;0,45785;0,3527;23,9563;14,3831;6,2985;7,3753;8,8954;15,2496;18,0449;18,7464;23,1449;385;97;6;1;1,8228;-0,0771;78,73211;0,63656;5,1;2,7953;6,3542;5,0724;100;9,1495;100;69,0909;489;489
AD4062;452,3893421;255,1;PRM;100;63,258;0,51726;0,3428;28,032;18,2785;7,8276;8,8768;10,7339;20,9662;23,3542;23,847;26,952;558;248;34;1;1,6308;-0,4862;66,34958;0,74794;3,5978;2,388;10,2323;6,2667;100;12,6204;100;88,5305;841;841
AD4064;452,3893421;287,3;PRX;100;64,455;0,59818;0,3377;25,3104;17,2348;5,2128;8,1818;10,5624;19,3682;21,8995;22,3457;24,7145;1156;464;62;6;2,03;-0,6995;68,48341;0,76523;2,815;2,5313;8,8058;5,8205;100;11,3371;100;87,7163;1688;1688
AD4069;452,3893421;154,8;PNX;100;31,028;0,21258;0,597;22,9614;8,9476;5,1643;5,4286;5,5693;5,8054;10,3884;14,2728;22,1901;436;96;3;0;3,2548;1,3474;81,49533;0,25283;11,8017;4,583;0,2361;5,3414;100;4,8191;100;36,4679;535;535
AD4070;452,3893421;308,2;PNM;100;61,6883;0,49368;0,4193;26,426;16,5152;6,8517;7,0942;7,3486;19,1495;22,3627;22,8816;25,9422;504;230;36;0;1,4713;-0,3851;65,45455;0,72465;3,5795;3,2132;11,8009;6,9251;100;15,0141;100;85,9127;770;770
AD4071;452,3893421;291,7;PRM;100;59,0512;0,49775;0,2824;26,1667;17,4588;8,829;9,3772;12,9016;18,5713;21,4667;21,9733;25,2902;545;223;32;1;1,9432;-0,4587;68,03995;0,70973;3,8235;2,8954;5,6697;4,9311;100;8,5651;100;80,5505;801;801
AD4072;530,9291585;389,7;PRM;100;54,644;0,48622;0,3306;32,3309;19,4563;7,2722;11,5266;13,3199;20,6167;25,0801;25,951;30,4265;464;160;21;1;1,6819;-0,0485;71,82663;0,63768;5,3464;4,4634;7,2968;6,4319;100;11,7601;100;70,0431;646;646
AD4073;530,9291585;203,4;PRM;100;52,5591;0,39921;0,4446;31,4692;16,2469;6,1321;7,2724;8,9909;16,7147;22,3133;23,2;30,304;371;126;11;0;1,7093;0,1733;73,0315;0,53114;7,9907;5,5986;7,7238;7,2227;100;13,3224;100;63,8814;508;508
AD4081;452,3893421;316,1;PNM;100;40,9018;0,28001;0,3617;18,2854;9,9257;6,6746;6,8906;6,9983;7,2224;13,1609;13,9338;17,3867;461;140;19;1;1,906;0,6994;74,2351;0,39498;4,2258;5,9385;0,2241;3,5897;100;6,1626;100;47,9393;621;621
AD4082;452,3893421;173,0;PNM;100;47,7495;0,36655;0,5537;21,7048;10,5959;4,1676;4,6005;4,7786;9,2753;16,007;16,9949;20,7345;389;111;11;0;1,4247;0,2768;76,12524;0,42734;4,7275;6,7317;4,4967;5,867;100;11,2283;100;59,126;511;511
AD4083;452,3893421;324,5;BMF;100;58,9454;0,47178;0,4482;23,4399;13,6649;4,9344;5,4529;5,9119;16,2222;19,0204;19,4128;22,4543;396;127;8;0;1,4376;-0,3153;74,57627;0,69208;3,4339;2,7982;10,3103;6,1245;100;13,1085;100;76,2626;531;531
AD4084;452,3893421;346,8;PNM;100;53,3461;0,46378;0,4901;26,8719;14,0191;2,9025;5,1954;6,3358;15,8191;20,0211;20,5719;25,0817;386;127;10;0;1,5015;-0,1345;73,80497;0,58869;5,0606;4,202;9,4833;6,8709;100;13,6854;100;68,1347;523;523
AD4085;452,3893421;292,1;PRM;100;60,3175;0,52345;0,4805;23,3521;13,9076;3,5336;5,1182;5,3864;16,7625;19,8976;20,3188;22,7622;579;252;49;2;1,3955;-0,3334;65,64626;0,71782;2,8646;3,1351;11,3761;6,6824;100;14,5112;100;83,247;882;882
AD4086;452,3893421;346,5;PRX;100;66,9118;0,53552;0,3144;24,9121;16,0405;5,812;6,7948;13,8688;17,7178;19,8053;20,1055;23,0722;428;101;14;1;2,3991;-0,8534;78,67647;0,71121;3,2669;2,0875;3,849;5,0434;100;5,9365;100;82,4766;544;544
AD4087;804,2477193;106,8;PRX;100;43,5013;0,34587;0,4321;19,0216;9,8435;4,9907;5,4759;6,0288;8,0721;13,4325;14,8179;18,4154;335;41;1;0;1,8524;0,5669;88,85942;0,42436;4,9829;5,3604;2,0433;4,253;100;7,4037;100;47,4627;377;377
