"","row","center.X","center.Y","TR","Elev.minim","Elev.maxim","Elev.mean","Elev.mode","Elev.stdde","Elev.varia","CV","IQ","Elev.skewn","Elev.kurto","Elev.AAD","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.ske","Elev.L.kur","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Return.1.c","Return.2.c","Return.3.c","Return.4.c","Percentage","Percenta_1","X.All.retur","First.retu","All.return","Percenta_2","Percenta_3","Percenta_4","Percenta_5","X.All.ret_1","X.All.ret_2","First.re_1","First.re_2","All.retu_1","All.retu_2","Total.firs","Canopy.rel","Elev.quadr","Elev.cubic","Profile.ar","Habitat"
"311",13,531720,22760,481,3.0402,13.2477,7.943,9.5211,2.674,7.1501,0.3366,4.3928,-0.2579,1.9294,2.2734,7.943,1.5313,-0.1135,0.0391,0.1928,-0.0742,0.0255,3.1019,3.494,3.9748,4.823,5.5768,6.4688,7.6979,8.4439,9.1441,9.6625,9.9696,10.3822,11.3,12.0092,12.3617,426,55,0,0,49.42,45.9847,55.8005,426,481,30.5104,18.2135,25.717,15.2008,31.2065,18.4455,263,157,269,159,862,0.4803,8.3801,8.7339,31.0431,"RMR"
"312",13,531740,22760,304,3.0471,10.903,6.7957,6.2892,1.9713,3.8861,0.2901,2.839,0.0651,2.1624,1.6103,6.7957,1.132,0.0187,0.0806,0.1666,0.0165,0.0712,3.1558,3.6962,4.135,4.8804,5.4026,5.7335,6.3047,6.7558,7.2187,7.8704,8.2416,8.662,9.652,10.1372,10.4507,260,44,0,0,33.6788,33.7778,39.3782,260,304,18.7824,23.1865,16.4444,20.5556,19.171,23.9637,145,179,148,185,772,0.4772,7.075,7.3267,24.3639,"RMR"
"313",13,531760,22760,646,3.0231,12.6122,7.6423,10.1769,2.5483,6.494,0.3334,4.431,-0.1766,1.9045,2.1512,7.6423,1.465,-0.0743,0.0233,0.1917,-0.0507,0.0159,3.1055,3.4121,3.8679,4.8271,5.568,6.3374,7.0781,7.6746,8.4282,9.6395,9.9991,10.2512,10.811,11.1957,12.2366,567,79,0,0,71.6814,60.093,81.6688,567,646,40.708,17.8255,30.6047,13.1163,41.5929,17.8255,322,141,329,141,791,0.4817,8.0554,8.3971,39.93,"RMR"
"314",13,531780,22760,655,3.0113,9.2493,5.5193,5.3877,1.3641,1.8607,0.2471,1.863,0.3959,2.6024,1.1096,5.5193,0.7741,0.0617,0.0739,0.1403,0.0797,0.0955,3.1451,3.4555,3.7978,4.228,4.4864,4.6692,5.0684,5.4075,5.8347,6.1883,6.3495,6.5966,7.4786,8.1386,8.7592,631,24,0,0,80.0761,62.8599,83.1218,631,655,38.5787,42.132,29.3666,32.1497,38.8325,42.5127,304,332,306,335,788,0.4021,5.6852,5.8471,42.6068,"RMR"
"315",13,531800,22760,435,3.0032,9.345,5.244,3.4058,1.5111,2.2833,0.2882,2.7531,0.2977,1.9759,1.3257,5.244,0.865,0.0679,-0.0054,0.165,0.0785,-0.0063,3.0482,3.2051,3.3912,3.6289,3.8714,4.1224,4.496,5.058,5.7229,6.2581,6.6245,6.7731,7.1768,7.6225,8.6332,413,22,0,0,51.4321,42.522,54.1719,413,435,25.9029,46.6999,20.3324,38.2209,25.9029,48.6924,208,375,208,391,803,0.3533,5.4568,5.6573,31.8784,"RMR"
"316",12,531140,22740,1293,3.0054,14.4589,6.5981,5.187,2.5701,6.6056,0.3895,2.9534,0.9881,3.295,2.0256,6.5981,1.399,0.3181,0.1781,0.212,0.2274,0.1273,3.0771,3.4322,3.8329,4.491,4.7766,5.0262,5.4189,5.9634,6.5094,7.2557,7.73,8.745,10.7231,11.9253,13.7242,1131,153,8,1,76.9388,60.9618,87.9592,1131,1293,30.5442,53.2653,23.2909,40.2169,33.6054,58.0272,449,783,494,853,1470,0.3137,7.0807,7.5751,31.7945,"RMR"
"317",12,531160,22740,1104,3.0052,12.9458,5.874,3.0052,2.2092,4.8806,0.3761,2.8806,0.8973,3.1197,1.773,5.874,1.2175,0.254,0.1144,0.2073,0.2087,0.094,3.0479,3.1855,3.3987,3.8892,4.1537,4.3618,4.8149,5.374,5.9615,6.6401,7.0343,7.6586,9.322,10.3519,11.8265,993,110,1,0,61.1453,52.3471,67.9803,993,1104,26.7857,61.0837,22.0484,52.2997,28.633,67.9187,435,992,465,1103,1624,0.2886,6.2754,6.6814,29.5196,"RMR"
"318",12,531180,22740,1168,3.0007,20.7567,9.2032,5.8191,4.4447,19.7557,0.483,5.919,0.7049,2.5092,3.6648,9.2032,2.4845,0.4542,0.1748,0.27,0.1828,0.0703,3.1039,3.504,4.1681,5.3035,5.8136,6.086,7.0447,8.2004,9.4581,11.0178,11.7325,13.4686,16.2216,18.0845,19.617,991,170,7,0,62.015,50.9599,73.0914,991,1168,27.4718,47.622,20.8988,38.089,29.975,54.6308,439,761,479,873,1598,0.3493,10.2195,11.1504,25.5449,"RMR"
"319",12,531620,22740,584,3.0131,11.8185,6.5689,4.5505,2.1369,4.5665,0.3253,3.2524,0.3275,2.409,1.7742,6.5689,1.2184,0.0785,0.0833,0.1855,0.0645,0.0684,3.0603,3.3434,3.8279,4.5686,4.7794,5.0613,5.8814,6.5728,7.1588,7.7169,8.0319,8.3796,9.2981,10.7456,11.5211,554,30,0,0,70.3046,62.5938,74.1117,554,584,35.7868,57.6142,31.2969,50.1608,37.0558,59.3909,282,454,292,468,788,0.4038,6.9072,7.2207,38.3829,"RMR"
"320",12,531640,22740,731,3.0118,16.6124,7.5572,4.9548,2.6717,7.1378,0.3535,4.1828,0.5275,3.009,2.1732,7.5572,1.5053,0.1314,0.1188,0.1992,0.0873,0.0789,3.1453,3.8028,4.2661,4.9324,5.1974,5.5676,6.6902,7.5308,8.106,8.9333,9.3802,9.8081,10.8263,12.3478,15.0284,664,67,0,0,82.8964,67.1258,91.2609,664,731,43.5705,68.6642,33.4252,53.6272,45.4432,72.9089,349,550,364,584,801,0.3342,8.015,8.4496,35.5276,"RMR"
"321",12,531660,22740,723,3.0137,13.9421,8.4793,8.5646,2.7021,7.3012,0.3187,4.2127,-0.3141,2.0723,2.2786,8.4793,1.5464,-0.1355,0.0628,0.1824,-0.0876,0.0406,3.1926,3.7171,4.4544,5.5514,6.4283,7.1002,8.0224,8.7756,9.6661,10.3601,10.6411,11.0283,11.6879,12.3448,13.2995,631,91,1,0,80.0761,64.2096,91.7513,631,723,48.8579,48.4772,35.1687,34.9023,50.2538,49.8731,385,382,396,393,788,0.5001,8.8988,9.2401,42.6837,"RMR"
"322",12,531680,22740,777,3.0208,15.5282,8.586,11.1605,2.6297,6.9155,0.3063,4.04,-0.187,2.3798,2.1664,8.586,1.5013,-0.0822,0.1096,0.1749,-0.0547,0.073,3.1724,3.8608,4.8218,6.1109,6.6594,7.1427,8.0574,8.7325,9.5078,10.2511,10.6993,11.1171,11.8132,12.3656,13.6657,675,100,2,0,85.0126,68.4581,97.8589,675,777,48.9924,18.8917,36.0352,13.2159,51.5113,18.8917,389,150,409,150,794,0.445,8.9792,9.3119,44.2037,"RMR"
"323",12,531700,22740,829,3.0042,13.8895,7.7966,6.6326,2.5869,6.6922,0.3318,4.1823,0.1805,2.0529,2.2089,7.7966,1.487,0.0695,0.055,0.1907,0.0468,0.037,3.2273,3.8325,4.3876,5.4067,5.787,6.1265,6.7212,7.476,8.4417,9.4518,9.9693,10.4099,11.4028,11.8812,13.1546,724,103,2,0,90.1619,74.9548,103.2379,724,829,45.7036,59.2777,34.7197,46.5642,47.8207,64.1345,367,476,384,515,803,0.4403,8.2141,8.588,45.3027,"RMR"
"324",12,531740,22740,421,3.0144,15.1991,8.1449,5.9155,2.9643,8.7874,0.3639,4.6246,0.4005,2.3619,2.4481,8.1449,1.687,0.1661,0.1282,0.2071,0.0985,0.076,3.1344,3.6146,4.5984,5.5325,5.9342,6.2332,6.8842,7.8805,8.5665,9.4791,10.5588,11.0369,12.3311,13.8174,14.6642,370,51,0,0,46.5409,42.4823,52.956,370,421,22.8931,35.9748,19.9798,32.1897,24.9057,40.1258,182,286,198,319,795,0.4211,8.6664,9.1456,25.3873,"RMR"
"325",12,531760,22740,550,3.0495,11.5967,6.1967,3.8635,1.9754,3.9021,0.3188,3.1095,0.3602,2.2348,1.6433,6.1967,1.1297,0.0984,0.0578,0.1823,0.0871,0.0512,3.0891,3.3322,3.7009,4.2124,4.507,4.8174,5.4422,6.0511,6.5619,7.2164,7.6165,7.9986,9.0787,9.709,10.599,500,50,0,0,62.422,50.2742,68.6642,500,550,31.211,55.4307,23.4918,43.9671,32.0849,60.0499,250,444,257,481,801,0.3682,6.5034,6.7906,32.186,"RMR"
"326",12,531780,22740,693,3.0161,11.1223,7.4071,7.1335,2.0601,4.244,0.2781,2.9743,-0.409,2.3016,1.6915,7.4071,1.1724,-0.1191,0.0861,0.1583,-0.1016,0.0735,3.1265,3.4705,4.1767,5.5371,5.9687,6.4905,7.159,7.6434,8.1778,8.7608,8.943,9.2379,9.9712,10.3309,10.9535,620,73,0,0,80.9399,64.1073,90.47,620,693,49.3473,54.5692,35.0601,38.8529,49.4778,54.8303,378,418,379,420,766,0.5417,7.6879,7.9211,45.1248,"RMR"
